client_id,start,step_1,step_2,step_3,confirm
20091,True,True,True,True,True
20108,True,False,False,False,False
20121,True,True,True,True,True
20185,True,True,True,True,True
20389,True,True,True,True,True
20537,True,True,True,True,True
20564,True,True,True,True,True
20643,True,True,True,True,True
20668,True,True,False,False,False
20730,True,True,True,True,True
20898,True,False,False,False,False
21011,True,True,True,True,True
21098,True,False,False,False,False
21200,True,True,True,True,False
21242,True,True,True,True,True
21273,True,True,False,False,False
21280,True,False,False,False,False
21281,True,True,True,True,True
21353,True,True,True,True,True
21403,True,False,False,False,False
21498,True,True,True,True,True
21522,True,True,True,True,False
21596,True,True,True,True,True
21600,True,True,True,False,False
21663,True,True,True,True,True
21719,True,True,True,True,False
21940,True,True,True,True,True
21970,True,True,True,True,True
22007,True,True,True,True,True
22194,True,True,True,True,True
22585,True,True,True,True,True
22676,True,True,False,False,False
22714,True,True,True,True,True
22793,True,True,True,False,False
22856,True,True,True,True,True
22883,True,True,True,True,True
22885,True,True,True,True,False
23169,True,True,True,True,False
23175,True,True,True,True,True
23181,True,True,True,True,True
23261,True,True,True,True,True
23276,True,True,True,True,True
23308,True,True,True,False,False
23400,True,True,True,False,False
23464,True,True,True,True,False
23538,True,True,True,True,True
23620,True,True,True,True,True
23690,True,True,True,True,True
23834,True,True,False,False,False
23864,True,True,True,True,True
23890,True,True,True,True,True
23914,True,True,True,True,True
24002,True,True,True,False,False
24006,True,True,True,True,True
24013,True,True,True,False,False
24079,True,False,False,False,False
24360,True,False,False,False,False
24443,True,True,True,True,True
24491,True,True,True,True,True
24572,True,True,True,True,True
24586,True,True,True,True,False
24673,True,False,False,False,False
24703,True,True,True,True,True
24710,True,True,True,True,True
24795,True,True,True,True,True
24841,True,True,True,True,True
24848,True,True,True,True,True
24871,True,True,True,True,False
25010,True,True,True,True,True
25022,True,True,True,True,True
25026,True,True,True,True,True
25043,True,True,True,True,True
25378,True,True,True,True,False
25409,True,False,False,False,False
25424,True,True,True,True,True
25560,True,True,True,True,True
25664,True,False,False,False,False
25667,True,True,True,True,True
25702,True,True,True,True,True
25766,True,True,True,True,True
26002,True,True,True,True,True
26036,True,True,True,True,True
26070,True,True,True,True,True
26105,True,True,True,True,True
26122,True,True,True,True,True
26196,True,False,False,False,True
26211,True,True,True,True,True
26286,True,True,False,False,False
26451,True,True,True,True,True
26696,True,False,False,False,False
26747,True,True,True,True,True
26763,True,True,True,True,True
26825,True,True,True,True,False
26938,True,True,True,True,True
27021,True,True,True,True,True
27075,True,True,True,True,True
27142,True,True,False,False,False
27241,True,True,True,True,True
27270,True,True,True,True,True
27554,True,True,True,True,True
27605,True,True,True,True,True
27764,True,True,True,True,True
27907,True,True,True,True,True
27943,True,True,True,True,True
27988,True,True,True,True,True
28076,True,False,False,False,False
28241,True,True,True,True,True
28277,True,True,True,True,True
28371,True,True,True,True,True
28442,True,True,True,True,True
28515,True,True,True,True,True
28542,True,True,True,True,True
28696,True,True,True,True,True
28705,True,True,True,True,True
28710,True,True,True,True,True
28731,True,True,True,False,False
28845,True,True,True,True,True
28857,True,True,True,True,True
28911,True,True,False,False,False
28978,True,True,True,True,True
29079,True,True,True,True,True
29227,True,True,True,True,True
29267,True,True,True,True,False
29304,True,True,True,True,True
29344,True,True,True,True,True
29372,True,True,True,False,False
29399,True,True,True,True,True
29527,True,True,True,True,True
29595,True,True,True,True,True
29712,True,False,False,False,False
29716,True,True,True,True,True
29772,True,True,True,True,True
29857,True,True,True,True,True
29861,True,True,True,True,True
30096,True,True,False,False,False
30172,True,True,False,False,False
30181,True,True,True,False,False
30199,True,True,True,True,True
30318,True,True,True,True,True
30323,True,True,False,False,False
30360,True,True,True,True,True
30462,True,False,False,False,False
30493,True,True,True,True,True
30592,True,True,False,False,False
30630,True,True,True,True,True
30666,True,True,True,True,True
31166,True,False,False,False,False
31191,True,False,False,False,False
31264,True,True,True,True,True
31336,True,True,True,True,True
31404,True,True,True,True,True
31499,True,True,True,True,True
31502,True,True,True,True,True
31597,True,True,True,True,True
31669,True,True,False,False,False
31715,True,True,True,True,True
31766,True,True,True,False,False
32084,True,True,False,True,True
32101,True,True,True,True,True
32197,True,True,True,True,True
32290,True,True,False,False,False
32305,True,True,False,False,False
32355,True,False,False,False,False
32386,True,True,True,True,True
32429,True,True,True,True,True
32443,True,True,True,True,True
32471,True,True,True,True,False
32521,True,True,True,True,True
32681,True,True,True,True,True
32746,True,True,True,True,True
32859,True,True,True,True,False
33007,True,True,True,True,True
33186,True,True,True,True,True
33190,True,True,True,True,True
33265,True,True,True,True,True
33361,True,True,False,False,False
33463,True,True,True,True,True
33472,True,True,True,True,True
33680,True,True,True,True,True
33752,True,True,True,True,True
33837,True,True,True,True,True
33903,True,True,True,True,True
33955,True,True,True,True,True
34067,True,True,True,True,True
34101,True,False,False,False,False
34243,True,True,True,True,True
34267,True,True,True,True,True
34437,True,True,True,True,True
34467,True,False,False,False,False
34491,True,True,True,True,True
34501,True,True,True,False,False
34603,True,True,True,True,True
34608,True,True,False,False,False
34631,True,True,True,True,False
34679,True,True,False,False,False
34931,True,True,True,True,True
35010,True,True,True,False,False
35087,True,True,True,False,False
35091,True,True,False,False,False
35138,True,True,True,True,True
35163,True,True,True,True,True
35181,True,True,True,True,True
35257,True,True,True,True,True
35344,True,True,True,True,False
35346,True,True,True,True,True
35417,True,True,True,True,True
35476,True,True,True,True,True
35634,True,False,False,False,False
35883,True,True,True,False,False
35922,True,True,True,True,True
36077,True,True,True,True,True
36109,True,True,True,True,True
36223,True,True,True,False,False
36308,True,True,True,True,True
36342,True,True,True,True,True
36362,True,True,True,True,True
36363,True,True,True,True,True
36430,True,True,True,True,True
36432,True,True,True,False,False
36555,True,True,True,True,False
36986,True,True,True,True,True
37046,True,True,True,True,True
37064,True,True,True,True,True
37073,True,True,True,True,True
37145,True,True,True,True,True
37237,True,True,True,True,True
37295,True,True,True,True,True
37307,True,True,True,True,True
37363,True,False,False,False,False
37408,True,True,True,True,True
37423,True,True,True,True,True
37496,True,True,True,True,True
37524,True,True,True,True,True
37616,True,False,False,False,False
37667,True,True,True,True,True
37691,True,True,False,False,False
37705,True,True,True,True,True
37872,True,True,True,True,True
37897,True,True,True,True,True
37961,True,True,True,True,True
37988,True,True,True,True,True
38226,True,True,True,True,True
38275,True,False,False,False,False
38283,True,True,True,True,True
38340,True,True,True,True,True
38375,True,True,True,True,True
38384,True,True,True,True,True
38409,True,True,True,True,False
38478,True,True,False,False,False
38551,True,True,True,True,True
38595,True,True,True,True,False
38685,True,True,True,True,True
38714,True,True,True,True,True
38775,True,False,False,False,False
38842,True,False,False,False,False
38854,True,True,False,False,False
38930,True,True,True,True,True
38963,True,True,True,True,True
38971,False,True,True,True,True
39004,True,False,False,False,False
39041,True,True,True,True,True
39043,True,True,False,False,False
39075,True,True,True,True,True
39393,True,True,True,True,True
39562,True,True,True,True,False
39566,True,True,True,True,True
39569,True,True,True,True,True
39594,True,True,True,True,True
39626,True,True,True,True,True
39809,True,True,True,True,True
39968,True,False,False,False,False
40140,True,True,True,True,True
40166,True,True,True,True,False
40283,True,False,False,False,False
40316,True,False,False,False,False
40439,True,True,True,True,True
40482,True,False,False,False,False
40594,True,True,True,True,True
40851,True,True,True,True,True
40969,True,True,False,False,False
41057,True,True,True,True,True
41122,True,True,True,True,True
41127,True,True,True,True,True
41142,True,True,True,True,True
41199,True,True,True,True,True
41237,True,True,True,True,True
41287,True,False,False,False,False
41325,True,True,True,True,True
41516,True,True,True,True,True
41554,True,True,False,False,False
41652,True,True,False,False,False
41795,True,True,True,True,True
41838,True,True,True,True,True
41924,True,True,True,False,False
42082,True,True,True,True,True
42108,True,True,True,True,False
42219,True,True,True,True,True
42235,True,True,True,True,True
42296,True,True,False,False,False
42349,True,True,True,True,True
42725,True,True,True,True,True
42824,True,True,True,True,True
42876,True,True,True,True,True
43137,True,True,True,True,True
43232,True,True,True,True,True
43265,True,True,True,True,True
43280,True,True,True,False,False
43494,True,True,True,False,False
43645,True,True,True,True,True
43766,True,True,False,False,False
43828,True,False,False,False,False
44022,True,True,True,True,True
44060,True,True,True,True,True
44216,True,True,True,True,True
44293,True,True,True,True,True
44417,True,False,False,False,False
44437,True,True,True,True,True
44520,True,True,True,True,True
44564,True,True,True,True,True
44652,True,True,True,True,True
44705,True,True,True,True,True
44857,True,True,False,False,False
44860,True,True,True,True,True
44932,True,True,True,True,True
44995,True,True,False,False,False
45131,True,True,True,True,True
45207,True,True,True,True,True
45232,True,True,True,True,True
45252,True,True,True,True,True
45485,True,True,True,True,True
45510,True,True,True,True,True
45539,True,True,True,True,True
45689,True,True,True,True,True
45866,True,True,True,True,True
45939,True,True,True,True,True
46162,True,True,True,True,True
46223,True,True,True,True,False
46298,True,True,True,True,True
46395,True,True,True,True,True
46437,True,True,True,True,True
46547,False,True,True,True,True
46653,True,True,True,True,True
46759,True,True,True,True,True
46766,True,True,True,True,True
46790,True,True,True,False,False
46845,True,True,True,True,True
46934,True,False,False,False,False
47291,True,True,True,True,True
47402,True,True,True,False,False
47419,True,True,True,True,False
47571,True,True,True,True,True
47860,True,True,True,True,False
47933,True,True,True,True,True
47934,True,True,True,True,True
48090,True,True,True,True,False
48144,True,False,False,False,False
48241,True,True,True,False,False
48372,True,True,True,True,True
48424,True,True,True,True,False
48431,True,True,True,True,True
48448,True,True,True,True,True
48473,True,True,True,True,False
48493,True,True,True,True,True
48563,True,True,True,True,True
48724,True,True,True,True,True
48787,True,True,True,True,True
48832,True,True,True,True,True
48833,True,True,True,True,True
48848,True,True,True,True,True
49004,True,True,False,False,False
49039,True,True,True,True,False
49270,True,True,True,True,True
49412,True,True,True,True,True
49450,True,True,True,True,True
49451,True,True,True,True,True
49709,True,True,True,True,True
49807,True,True,True,True,True
49952,True,True,True,True,True
49957,True,True,True,True,True
49998,True,True,False,False,False
49999,True,True,True,True,True
50024,True,True,True,True,True
50031,True,True,True,True,True
50053,True,True,True,True,True
50090,True,True,True,True,True
50144,True,True,True,True,True
50185,True,True,True,True,True
50271,True,True,True,True,True
50325,True,True,True,True,True
50445,True,True,True,True,True
50521,True,True,True,False,False
50599,True,False,False,False,False
50643,True,True,True,True,True
50692,True,False,False,False,False
51417,True,True,True,False,False
51444,True,True,False,False,False
51464,True,False,False,False,False
51493,True,True,True,True,True
51503,False,True,True,True,True
51526,True,True,True,True,True
51651,True,True,False,False,False
51668,True,True,True,True,True
51706,True,True,True,True,True
51814,True,True,True,True,True
51902,True,True,True,True,True
51917,True,True,True,True,True
52111,True,True,True,True,True
52160,True,True,True,True,True
52233,True,True,False,False,False
52309,True,True,True,False,False
52384,True,False,False,False,False
52396,True,True,True,True,True
52456,True,True,True,True,True
52461,True,True,True,True,True
52515,True,False,False,False,False
52516,True,True,True,True,True
52743,True,True,True,True,True
52765,True,True,True,True,True
52897,True,True,True,True,True
52901,True,True,True,False,False
52952,True,True,True,False,False
53094,True,True,True,True,True
53123,True,True,True,True,True
53126,True,True,True,True,True
53169,True,False,False,False,False
53217,True,True,True,False,False
53276,True,True,True,True,True
53365,True,False,False,False,False
53396,True,True,True,True,True
53425,True,True,True,True,False
53456,True,True,True,True,True
53721,True,True,True,True,True
53844,True,False,False,False,False
53975,True,True,True,True,True
53990,True,True,True,True,False
54231,True,True,True,True,True
54257,True,False,False,False,False
54291,True,True,True,True,True
54318,True,True,True,True,True
54363,True,True,True,True,True
54454,True,False,False,False,False
54476,True,True,True,False,False
54477,True,False,False,False,False
54500,True,True,False,False,False
54715,True,True,True,False,False
54893,True,True,True,True,True
55059,True,True,True,True,True
55113,True,True,True,True,True
55265,True,True,True,True,True
55333,True,True,True,True,True
55415,True,True,True,True,True
55448,True,True,True,True,True
55497,True,True,True,True,True
55512,True,True,True,True,True
55519,True,True,True,True,True
55626,True,True,True,True,False
55705,True,True,True,False,False
55951,True,False,False,False,False
56033,True,True,True,True,True
56294,True,True,True,True,True
56408,True,True,True,True,True
56417,True,True,True,True,False
56529,True,True,True,True,True
56570,True,True,True,True,False
56686,True,True,True,True,True
56782,True,True,True,False,False
56799,True,True,False,False,False
56923,True,True,True,True,True
57152,True,False,False,False,False
57223,True,True,True,True,True
57366,True,True,True,True,True
57378,True,True,True,True,True
57486,True,True,True,True,True
57733,True,True,True,True,True
57744,True,True,True,True,True
57753,True,True,True,True,True
58001,True,True,True,True,True
58194,True,True,True,True,True
58196,True,True,True,True,True
58456,True,True,True,True,True
58475,True,True,True,True,True
58561,True,True,True,True,True
58589,True,True,True,True,True
58676,True,True,True,True,True
58802,True,False,False,False,False
58867,True,True,True,True,True
58917,True,True,True,True,True
58962,True,True,True,True,True
58975,True,True,True,True,False
59089,True,True,True,True,True
59152,True,True,True,True,True
59279,True,False,False,False,False
59326,True,True,True,True,True
59338,True,True,True,True,True
59360,True,True,True,True,True
59605,True,True,False,False,False
59609,True,False,False,False,False
59736,True,True,False,False,False
59782,True,True,True,True,True
59802,True,True,True,True,True
59860,True,True,True,True,True
59889,True,True,True,False,False
59931,True,True,True,True,True
59988,True,True,True,True,True
60101,True,True,True,True,True
60119,True,True,True,True,True
60319,True,True,True,True,True
60327,True,True,True,True,True
60435,True,False,False,False,False
60483,True,True,True,True,True
60490,True,True,True,True,True
60529,True,True,False,False,False
60547,True,True,True,True,True
60802,True,True,True,True,False
60958,True,False,False,False,False
61007,True,False,False,False,False
61487,True,True,True,True,True
61596,True,True,True,True,True
61650,True,True,True,True,True
61699,True,True,True,True,False
61794,True,True,True,True,True
61810,True,False,False,False,False
61961,True,True,True,True,True
62005,True,True,True,True,False
62058,True,False,False,False,False
62097,True,True,True,True,True
62099,True,True,True,True,True
62157,True,True,False,False,False
62284,True,True,True,True,True
62290,True,False,False,False,False
62498,True,False,False,False,False
62503,True,True,True,True,False
62544,True,True,True,True,True
62754,True,True,True,True,True
62791,True,True,True,True,True
62805,True,True,True,True,True
62837,True,True,False,False,False
63001,True,True,True,False,False
63114,True,True,True,True,True
63130,True,False,False,False,False
63367,True,True,True,True,True
63369,True,False,False,False,False
63377,True,True,True,True,True
63467,True,True,True,True,True
63507,True,True,True,True,True
63715,True,True,True,True,False
63796,True,True,True,True,True
63812,True,True,True,False,False
63837,True,True,True,True,True
63879,True,True,True,True,True
63955,True,True,True,True,True
64020,True,True,True,True,True
64058,True,True,True,True,True
64420,True,True,True,True,True
64502,True,False,False,False,False
64635,False,False,False,False,True
64871,True,True,True,True,True
64877,True,True,True,True,True
64885,True,True,False,False,False
64964,True,True,True,True,True
65071,True,True,True,True,True
65117,True,True,True,True,True
65127,False,False,False,False,True
65146,True,True,True,True,True
65206,True,True,True,True,True
65221,True,True,True,True,True
65315,True,False,False,False,False
65388,True,True,True,True,True
65569,True,True,True,True,True
65700,True,True,True,True,True
65716,True,True,True,True,True
65768,True,False,False,False,False
65845,True,True,True,True,True
65899,True,True,False,False,False
65927,True,True,False,False,False
66071,True,True,True,True,True
66160,True,True,True,True,True
66169,True,True,True,True,True
66229,True,True,True,False,False
66417,True,True,True,True,True
66539,True,True,True,True,True
66543,True,False,False,False,False
66590,True,True,True,True,True
66653,True,False,False,False,False
66727,True,True,True,True,True
66930,True,True,True,True,False
67037,True,True,True,True,True
67159,True,True,True,True,True
67215,True,True,True,True,True
67221,True,True,True,True,True
67390,True,True,True,True,True
67452,True,True,True,True,True
67714,True,False,False,False,False
67837,True,False,False,False,False
67845,True,True,False,False,False
67870,True,True,True,True,True
67882,True,True,True,True,True
67899,True,True,False,True,True
67925,True,True,True,True,True
68116,True,False,False,False,False
68170,True,False,False,False,False
68211,True,True,True,True,True
68276,True,True,True,True,True
68455,True,True,True,True,True
68498,True,True,True,False,False
68506,True,True,True,True,False
68830,True,True,True,True,True
68854,True,True,True,True,True
68884,True,True,True,True,False
68886,True,True,True,True,True
68963,True,True,True,True,True
69146,True,False,False,False,False
69201,True,True,True,True,True
69255,True,False,False,True,True
69439,True,True,True,True,True
69464,True,False,False,False,False
69568,True,True,True,True,False
69586,True,True,True,True,True
69591,True,False,False,False,False
69598,True,True,True,True,True
69603,True,True,True,True,True
70127,True,True,True,True,True
70223,True,False,False,False,False
70225,True,True,True,True,True
70324,True,False,False,False,False
70493,True,True,True,True,True
70576,True,True,True,True,True
70685,True,True,False,False,False
70856,True,True,True,True,True
70863,True,False,False,False,False
71036,True,True,True,True,True
71159,True,False,False,False,False
71228,True,True,True,True,False
71296,True,True,True,True,True
71297,True,True,True,True,True
71340,True,True,True,True,True
71476,True,False,False,False,False
71626,True,True,True,True,False
71754,True,True,True,True,True
71996,True,True,True,True,True
72074,True,True,True,True,True
72221,True,True,True,True,True
72237,True,True,True,True,True
72291,True,True,False,False,False
72360,True,True,True,True,True
72388,True,True,True,True,False
72395,True,True,True,True,True
72614,True,True,True,False,False
72623,True,True,True,True,True
72671,True,True,True,True,True
72710,True,True,True,False,False
72909,True,True,True,True,True
72915,True,True,True,True,True
72916,True,True,True,True,True
72951,True,True,True,True,True
72956,True,True,True,True,True
72988,True,False,False,False,False
72994,True,True,True,True,True
73135,True,True,False,False,False
73293,True,True,False,False,False
73331,True,True,True,True,True
73335,True,True,True,True,True
73349,True,True,True,False,False
73453,True,True,True,True,True
73496,True,False,False,False,False
73578,True,True,True,True,True
73615,True,True,True,True,True
73624,True,True,True,True,True
73648,True,True,True,True,True
73649,True,True,True,True,True
73690,True,True,True,True,False
73910,True,True,True,True,True
74108,True,True,False,False,False
74113,True,True,True,True,True
74169,True,True,True,True,True
74232,True,True,True,True,True
74411,True,False,False,False,False
74413,True,True,True,True,True
74517,True,True,True,True,True
74552,True,True,True,True,True
74564,True,True,True,True,False
74844,True,True,True,True,False
74972,True,True,True,True,False
74976,True,True,True,True,True
75033,True,True,True,True,True
75071,True,True,True,True,True
75209,True,True,True,True,True
75235,True,True,True,True,True
75337,True,True,True,True,True
75381,True,True,False,False,False
75413,True,True,True,True,True
75490,True,True,True,True,True
75642,True,True,True,True,True
75865,True,True,True,True,True
76222,True,True,True,True,True
76268,True,True,True,True,True
76424,True,True,True,True,True
76429,True,True,True,True,True
76454,True,True,True,True,True
76481,True,True,True,True,True
76574,True,True,True,True,True
76631,True,True,True,False,False
76635,True,True,True,False,False
76775,True,True,False,False,False
76776,True,True,True,True,True
76970,True,True,True,True,True
77071,True,True,True,True,True
77159,True,True,True,True,True
77276,True,True,True,True,True
77286,True,True,True,True,True
77292,True,True,True,False,False
77363,True,True,True,True,True
77391,True,False,False,False,False
77424,True,False,False,False,False
77513,True,True,True,True,True
77642,True,True,True,True,True
77651,False,False,False,False,True
77706,True,True,True,False,False
77933,True,True,True,True,True
78215,True,True,True,True,False
78281,True,True,True,True,True
78359,True,True,False,False,False
78370,True,True,True,True,True
78424,True,True,True,True,False
78720,True,False,False,False,False
78728,True,True,True,True,False
78779,True,False,False,False,False
78908,True,True,True,True,True
78917,True,True,False,False,False
79002,True,True,True,True,True
79077,True,True,True,True,True
79127,True,True,True,True,True
79207,True,True,False,False,False
79229,True,True,True,False,False
79452,True,True,True,True,True
79471,True,True,True,True,True
79547,True,True,True,True,True
79571,True,True,True,True,True
79623,True,True,True,True,False
79669,True,True,False,False,False
79679,True,True,True,True,True
79716,True,True,True,True,True
79819,True,False,False,False,False
79884,True,True,True,True,True
79897,True,True,True,True,True
80006,True,True,True,True,True
80117,True,True,True,True,True
80126,True,True,True,True,True
80127,True,True,True,True,True
80241,True,True,False,False,False
80275,True,True,True,True,True
80442,True,True,True,True,True
80479,True,True,True,True,True
80559,True,True,True,True,True
80726,True,True,False,False,False
80801,True,True,True,True,False
80915,True,True,True,True,True
80920,True,True,True,False,False
80969,True,True,False,False,False
81096,True,True,True,True,True
81098,True,True,True,True,True
81102,True,True,True,True,True
81119,True,True,True,False,False
81146,False,False,False,False,True
81303,True,True,True,True,True
81430,True,True,True,True,False
81442,True,True,True,True,True
81601,True,True,True,True,True
81672,True,True,False,False,False
81720,True,True,True,True,True
81816,True,True,True,False,False
81963,True,True,True,True,True
81976,True,True,True,True,True
82206,True,True,True,True,True
82376,True,True,True,True,True
82557,True,True,False,False,False
82560,True,False,False,False,False
82566,True,True,True,True,True
82676,True,False,False,False,False
82712,True,True,True,True,False
82723,True,True,True,True,False
82734,True,True,True,True,True
82746,True,True,False,False,False
82757,True,True,True,True,True
82772,True,True,True,True,True
82869,True,True,True,True,True
82880,True,True,True,True,False
82901,True,False,False,False,False
83002,True,False,False,False,False
83066,True,True,True,True,False
83158,True,True,True,True,True
83363,True,True,True,True,True
83447,True,True,True,True,True
83480,True,True,True,True,True
83489,True,True,True,True,True
83503,True,False,False,False,False
83507,True,True,True,True,True
83585,True,True,True,True,True
83614,True,True,True,True,True
83683,True,False,False,False,False
83693,True,True,True,True,False
83778,True,True,True,True,True
83795,True,True,True,True,True
83828,True,True,True,True,True
83889,True,True,True,True,True
83892,True,True,True,True,True
83999,True,True,True,True,True
84067,True,True,True,True,True
84092,True,True,True,True,True
84108,True,True,True,True,True
84199,True,True,True,True,True
84226,True,True,True,True,False
84464,True,True,True,True,True
84480,True,True,True,True,True
84482,True,True,True,True,True
84498,True,False,False,False,False
84544,True,False,False,False,False
84596,True,False,False,False,False
84624,True,True,True,True,True
84658,True,True,True,True,True
84693,True,True,True,True,True
84702,True,True,True,False,False
84730,True,False,False,False,False
84856,True,True,True,True,True
84971,True,True,False,False,False
84976,True,True,True,True,True
85000,True,True,True,True,True
85097,True,True,False,False,False
85105,True,True,True,True,True
